REACH AROUND TOWN,6,OLD ILL WILL,29,SALT 'N' SAUCE,1,CAN'T BE WRONGER,28,HENNIGAN'S STEED,4,MICRO AGGRESSION,8,MICRO AGGRESSION,8
FIRE HAZARDS,24,BOUNCY BLESSED,5,BORROWED SORROW,12,FRIENDLY FIRE,9,HARD TIME DONE,18,GETTING HAUGHTY,3,GETTING HAUGHTY,3
DIVORCED DOCTOR,7,CANCELLED CHECK,25,LIT AS TRUCK,1,GHOST DANK,10,DARLING RICKI,22,HELL FOR WEATHER,2,LIT AS TRUCK,1
YAY YO LET'S GO,3,NORTHERN LIGHTS,15,DRONE WARNING,8,HIPPIE CRACK,23,TEA ACHE SEA,24,ROBOCALL,4,ROBOCALL,4
MEASLES SMEEZLES,15,KRAFF RUNNING,14,SCRAWNY NAG,30,FEED THE TROLLS,30,CRACKERS AND PLEASE,3,HELL FOR WEATHER,2,HELL FOR WEATHER,2
COUNTRY STUCK,21,DOWNTOWN RENOWN,4,OMENS AND ICE,3,DRONE WARNING,8,TENPENNY,10,DEAD HEAT HATTIE,17,DOWNTOWN RENOWN,4
LOS SANTOS SAVIOR,5,OLD ILL WILL,29,BLACK ROCK ROOSTER,18,HOT & BOTHERED,2,SQUARE TO GO,6,UPTOWN RIDER,14,LOS SANTOS SAVIOR,5
CROCK JANLEY,8,SIR SCRAMBLED,26,STUDY BUDDY,15,OL' SKAG,28,MOON ROCKS,4,LEAD IS OUT,3,MOON ROCKS,4
HENNIGAN'S STEED,4,TOTAL BELTER,1,STUPID MONEY,30,NUNS ORDERS,9,WAGE OF CONSENT,21,UPTOWN RIDER,14,TOTAL BELTER,1
DARLING RICKI,22,SALT 'N' SAUCE,1,BORROWED SORROW,12,CLAPBACK CHARLIE,10,MISS MARY JOHN,22,LIT AS TRUCK,1,SALT 'N' SAUCE,1
CREEPY DENTIST,7,DOOZY FLOOZY,13,BLACK ROCK ROOSTER,18,DURBAN POISON,20,TOTAL BELTER,1,ROBOCALL,4,TOTAL BELTER,1
GETTING HAUGHTY,3,DURBAN POISON,20,WEE SCUNNER,8,MISTER SCISSORS,7,BAD EGG,29,WORTH A KINGDOM,2,GETTING HAUGHTY,3
SWEET RELEAF,4,TENPENNY,10,MOON ROCKS,4,STUPID MONEY,30,SOCIAL MEDIA WARRIOR,27,CREEPY DENTIST,7,SWEET RELEAF,4
HARD TIME DONE,18,PRETTY AS A PISTOL,4,DEXIE RUNNER,6,MISTER SCISSORS,7,SNATCHED YOUR MAMA,1,HIPPIE CRACK,23,DEXIE RUNNER,6
MEASLES SMEEZLES,15,DURBAN POISON,20,OMENS AND ICE,3,SALT 'N' SAUCE,1,DIVORCED DOCTOR,7,PEDESTRIAN,25,MEASLES SMEEZLES,15
